class_id,name,country,role,year,speed,range,crew,fleet,desc,img
A11,E-8,USA,Battle Management / Surveillance,1991,830 km/h,6800 km,20,17,"E-8 Joint STARS is an airborne command, control, intelligence, surveillance and reconnaissance (C2ISR) platform designed to track ground targets and provide real-time battlefield management data to commanders.",https://upload.wikimedia.org/wikipedia/commons/6/6d/E-8_JSTARS_18061F484519-913.jpg
A12,TU-22M,rus,Long-range Bomber,1972,Mach 1.88,6800 km,4,60,"Tu-22M is a supersonic long-range bomber with variable-sweep wings designed for maritime strike and nuclear delivery missions.",https://upload.wikimedia.org/wikipedia/commons/0/0c/Tupolev_Tu-22M3M_GEFEST_%2819230388334%29.jpg
A13,F-15,USA,Air Superiority Fighter,1976,Mach 2.5,3900 km,1,400,"F-15 Eagle is a highly successful air superiority fighter known for its speed, radar capabilities, and unmatched air-to-air combat record.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/F-15C_Eagle_from_the_44th_Fighter_Squadron_flies_during_a_routine_training_exercise_April_15%2C_2019.jpg/1280px-F-15C_Eagle_from_the_44th_Fighter_Squadron_flies_during_a_routine_training_exercise_April_15%2C_2019.jpg
A14,KC-135,USA,Tanker,1957,850 km/h,2400 km,3,390,"KC-135 Stratotanker is an aerial refueling aircraft that extends the operational range of U.S. and allied military aircraft.",https://upload.wikimedia.org/wikipedia/commons/6/64/KC-135_100th_Air_Refueling_Wing.jpg
A15,F-22,USA,Stealth Fighter,2005,Mach 2.25,2960 km,1,180,"F-22 Raptor is a fifth-generation stealth fighter with advanced avionics, supercruise capability, and unmatched air superiority performance.",https://upload.wikimedia.org/wikipedia/commons/4/46/Lockheed_Martin_F-22A_Raptor_JSOH.jpg
A16,FA-18,USA,Carrier Multirole Fighter,1983,Mach 1.8,3300 km,1,600,"F/A-18 Hornet is a carrier-capable multirole fighter used for both air-to-air and air-to-ground missions by the U.S. Navy.",https://upload.wikimedia.org/wikipedia/commons/4/44/FA-18C_desert_refueling.jpg
A17,TU-95,rus,Strategic Bomber,1956,830 km/h,12000 km,7,55,"Tu-95 is a long-range strategic bomber powered by turboprop engines, known for its distinctive contra-rotating propellers and nuclear strike capability.",https://upload.wikimedia.org/wikipedia/commons/0/02/Tupolev_Tu-95_over_Moscow_Kustov_%28cropped%29.jpg
A18,KC-10,USA,Tanker / Transport,1981,900 km/h,10600 km,3,50,"KC-10 Extender is a strategic aerial refueling and cargo aircraft capable of supporting long-range deployment operations.",https://media.defense.gov/2003/Aug/08/2000598091/2000/2000/0/073003-F-8156G-004.JPG
A19,SU-34,rus,Strike Fighter,2014,Mach 1.8,4000 km,2,140,"Su-34 is a strike fighter designed for deep penetration missions with heavy payload capacity and advanced targeting systems.",https://upload.wikimedia.org/wikipedia/commons/7/76/MAKS2015part1-10_%28cropped%29.jpg
A20,SU-24,rus,Bomber,1974,Mach 1.35,2850 km,2,200,"Su-24 is an all-weather attack aircraft with variable-sweep wings, designed for low-level penetration and precision strikes.",https://upload.wikimedia.org/wikipedia/commons/7/76/Sukhoi_Su-24_inflight_Mishin-3.jpg
